timestamp,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,ACCx,ACCy,ACCz
1732468302.164835,-3868068.0,30004.0,21473.0,21152.0,-453.0,-1860796.0,0.0,0.0,3717.0,7141.0,14205.0
1732468302.1671283,-3994576.0,39443.0,30938.0,30512.0,7566.0,-1966517.0,0.0,0.0,3717.0,7141.0,14205.0
1732468302.1705923,-6017763.0,304209.0,144839.0,144816.0,18873.0,-4030276.0,0.0,0.0,3717.0,7141.0,14205.0
1732468302.1729717,-6017763.0,304209.0,144839.0,144816.0,18873.0,-4030276.0,0.0,0.0,3717.0,7141.0,14205.0
1732468302.1751392,-6017763.0,304209.0,144839.0,144816.0,18873.0,-4030276.0,0.0,0.0,3717.0,7141.0,14205.0
1732468302.1772835,-6017763.0,304209.0,144839.0,144816.0,18873.0,-4030276.0,0.0,0.0,3717.0,7141.0,14205.0
1732468302.1793818,-6017763.0,304209.0,144839.0,144816.0,18873.0,-4030276.0,0.0,0.0,3717.0,7141.0,14205.0
1732468302.1819673,-3889271.0,31409.0,22303.0,21949.0,-372.0,-1880827.0,0.0,0.0,3710.0,7140.0,14196.0
1732468302.184183,-3889271.0,31409.0,22303.0,21949.0,-372.0,-1880827.0,0.0,0.0,3710.0,7140.0,14196.0
1732468302.1863515,-3982547.0,34464.0,27637.0,27279.0,6853.0,-1952897.0,0.0,0.0,3710.0,7140.0,14196.0
1732468302.1884704,-3982547.0,34464.0,27637.0,27279.0,6853.0,-1952897.0,0.0,0.0,3710.0,7140.0,14196.0
1732468302.1905804,-5951023.0,308592.0,150289.0,150265.0,16388.0,-3962957.0,0.0,0.0,3710.0,7140.0,14196.0
1732468302.1927168,-5951023.0,308592.0,150289.0,150265.0,16388.0,-3962957.0,0.0,0.0,3710.0,7140.0,14196.0
1732468302.1948757,-7529666.0,323334.0,92277.0,92349.0,-21767.0,-5590186.0,0.0,0.0,3710.0,7140.0,14196.0
